1,1,2,1,1,0,0,136,38,98
 7,1,5,0,-2,0,0,18,6,12
  0,1,2,2,2,0,0,13,5,8
   6,1,4,1,-1,0,0,13,5,8
    2,2,4,1,2,-1,0,13,5,8
  2,1,3,1,1,0,0,5,1,4
   5,0,3,1,-2,1,0,5,1,4
    1,0,2,0,1,0,0,5,1,4
 6,1,4,1,-1,0,0,118,32,86
  1,0,3,0,1,0,0,42,4,38
   4,1,3,0,-1,1,0,42,4,38
    2,1,3,0,1,-1,0,42,4,38
  0,6,2,7,2,0,0,35,9,26
   6,6,4,6,-1,0,0,35,9,26
    2,7,4,6,2,-1,0,35,9,26
  1,6,2,6,1,0,0,41,19,22
   6,6,5,6,-1,0,0,41,19,22
    1,0,3,0,1,0,0,41,19,22
0,1,2,0,2,0,0,177,43,134
 6,6,5,6,-1,0,0,24,17,7
  1,2,2,2,1,0,0,19,12,7
   6,2,4,2,-1,0,0,16,12,4
    2,0,1,2,2,0,0,12,10,2
    0,3,2,1,5,0,0,4,2,2
   7,1,5,0,-2,0,0,3,0,3
    0,3,3,0,5,0,0,3,0,3
  1,1,2,1,1,0,0,5,5,0
   7,1,5,0,-2,0,0,5,5,0
    2,1,3,1,1,0,0,5,5,0
 6,1,4,1,-1,0,0,153,26,127
  2,0,4,1,2,-1,0,153,26,127
   6,0,5,0,-1,0,0,153,26,127
    4,1,6,2,2,-1,0,153,26,127
1,2,2,2,1,0,0,62,17,45
 6,2,4,2,-1,0,0,59,17,42
  1,3,3,3,1,0,0,19,9,10
   4,2,3,3,-1,1,0,19,9,10
    0,3,3,3,5,-1,0,19,9,10
  0,3,2,1,5,0,0,40,8,32
   7,3,6,2,-5,0,0,40,8,32
    2,1,6,5,5,-1,0,40,8,32
 7,1,5,0,-2,0,0,3,0,3
  0,3,3,0,5,0,0,3,0,3
   6,2,5,2,-1,0,0,3,0,3
    3,0,5,0,5,-2,0,3,0,3
